"age","created_timestamp","kidsarc_response_id","participant_fk","itemid","A","B","C","D","response","correct","saveitem_timestamp","rt"
"12","2023-12-09 10:26:48","120","4383","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 10:28:15","2147483647"
"9","2023-12-09 10:25:57","121","4382","5","700770000","770700000","700700770","777700000","660600600","0","2023-12-09 10:28:16","2147483647"
"12","2023-12-09 10:26:48","122","4383","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 10:28:25","2147483647"
"12","2023-12-09 10:26:48","123","4383","5","700770000","770700000","700700770","777700000","770700700","0","2023-12-09 10:28:35","2147483647"
"9","2023-12-09 10:25:57","124","4382","6","110005005","330007007","050050011","070070033","030030077","0","2023-12-09 10:28:55","2147483647"
"12","2023-12-09 10:26:48","125","4383","6","110005005","330007007","050050011","070070033","070070033","1","2023-12-09 10:28:58","2147483647"
"12","2023-12-09 10:26:48","126","4383","7","110000000","111000000","000102102","102102102","102102102","1","2023-12-09 10:29:08","2147483647"
"9","2023-12-09 10:25:57","127","4382","7","110000000","111000000","000102102","102102102","102102102","1","2023-12-09 10:29:11","2147483647"
"12","2023-12-09 10:26:48","128","4383","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 10:29:22","2147483647"
"9","2023-12-09 10:25:57","129","4382","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 10:29:25","2147483647"
"8","2023-12-09 10:30:16","130","4388","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 10:31:07","2147483647"
"6","2023-12-09 10:30:14","131","4387","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 10:31:15","2147483647"
"8","2023-12-09 10:30:16","132","4388","2","700000000","700000700","770000000","770000770","770000770","1","2023-12-09 10:31:23","2147483647"
"8","2023-12-09 10:30:16","133","4388","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 10:31:30","2147483647"
"8","2023-12-09 10:30:16","134","4388","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 10:31:44","2147483647"
"6","2023-12-09 10:30:14","135","4387","2","700000000","700000700","770000000","770000770","700000700","0","2023-12-09 10:31:47","2147483647"
"8","2023-12-09 10:30:16","136","4388","5","700770000","770700000","700700770","777700000","777700000","1","2023-12-09 10:31:56","2147483647"
"6","2023-12-09 10:30:14","137","4387","3","040040040","060060060","000444000","000666000","040040040","0","2023-12-09 10:32:01","2147483647"
"8","2023-12-09 10:30:16","138","4388","6","110005005","330007007","050050011","070070033","070070033","1","2023-12-09 10:32:21","2147483647"
"6","2023-12-09 10:30:14","139","4387","4","400400000","000400400","404404000","000404404","000004004","0","2023-12-09 10:32:25","2147483647"
"6","2023-12-09 10:30:14","140","4387","5","700770000","770700000","700700770","777700000","700770000","0","2023-12-09 10:32:35","2147483647"
"8","2023-12-09 10:30:16","141","4388","7","110000000","111000000","000102102","102102102","102102102","1","2023-12-09 10:32:37","2147483647"
"33","2023-12-09 10:29:27","142","4386","9","1101111010555551101101011","1101111010555550000000000","0110155555000101101111001","0110155555000000000000000","0110155555000000000000000","1","2023-12-09 10:32:47","94352"
"8","2023-12-09 10:30:16","143","4388","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 10:32:50","2147483647"
"6","2023-12-09 10:30:14","144","4387","6","110005005","330007007","050050011","070070033","220270000","0","2023-12-09 10:33:01","2147483647"
"6","2023-12-09 10:30:14","145","4387","7","110000000","111000000","000102102","102102102","111000000","0","2023-12-09 10:33:20","2147483647"
"33","2023-12-09 10:29:27","146","4386","10","0000003033030000030300000","0000003333030030333300000","5500000500005005000000500","5550050500505005050055500","5550000500005005550000500","0","2023-12-09 10:33:21","34215"
"6","2023-12-09 10:30:14","147","4387","8","330000000","000333000","330440000","000333444","000333000","0","2023-12-09 10:33:29","2147483647"
"33","2023-12-09 10:29:27","148","4386","11","1111110001111110000000003","2222220302222220000000000","3010001010100010101000100","0020002020203020202000200","0020002220223220222000200","0","2023-12-09 10:34:22","60581"
"33","2023-12-09 10:29:27","149","4386","12","6666033333000007770011000","0000011000777006666033333","2200055500600004444433330","6000022000555003333044444","6000033330444442200055500","0","2023-12-09 10:36:16","114153"
"33","2023-12-09 10:29:27","150","4386","13","0102211022010000007722077","0002200022000000000022000","0405544055000000600560055","0005500055000000000500055","0005500055000000600060000","0","2023-12-09 10:36:34","17067"
"33","2023-12-09 10:29:27","151","4386","14","4441444244444443244444424","4444444444444444444444444","6666676666668666666768666","6666666666666666666666666","6666666666666666666666666","1","2023-12-09 10:36:57","23179"
"33","2023-12-09 10:29:27","152","4386","15","1001133333011013333311010","0000033333011013333300000","0031311313113030031311303","0031300313003030031300303","0000011313113030031300000","0","2023-12-09 10:37:41","43983"
"33","2023-12-09 10:29:27","153","4386","16","0070007070700070707000700","0000007070000000707000000","0000006660060600666000000","0000000600060600060000000","0000006060060600606000000","0","2023-12-09 10:38:09","27573"
"9","2023-12-09 10:39:16","154","4398","9","1101111010555551101101011","1101111010555550000000000","0110155555000101101111001","0110155555000000000000000","0110155555000000000000000","1","2023-12-09 10:40:00","43490"
"9","2023-12-09 10:39:16","155","4398","10","0000003033030000030300000","0000003333030030333300000","5500000500005005000000500","5550050500505005050055500","5550050500505005050055500","1","2023-12-09 10:41:37","97308"
"9","2023-12-09 10:39:16","156","4398","11","1111110001111110000000003","2222220302222220000000000","3010001010100010101000100","0020002020203020202000200","0020002020203020202000200","1","2023-12-09 10:42:01","23149"
"9","2023-12-09 10:39:16","157","4398","12","6666033333000007770011000","0000011000777006666033333","2200055500600004444433330","6000022000555003333044444","6000022000555003333044444","1","2023-12-09 10:42:41","40620"
"9","2023-12-09 10:39:16","158","4398","13","0102211022010000007722077","0002200022000000000022000","0405544055000000600560055","0005500055000000000500055","0006600066000000600060000","0","2023-12-09 10:43:04","22561"
"9","2023-12-09 10:39:16","159","4398","14","4441444244444443244444424","4444444444444444444444444","6666676666668666666768666","6666666666666666666666666","6666666666666666666666666","1","2023-12-09 10:43:30","25662"
"9","2023-12-09 10:39:16","160","4398","15","1001133333011013333311010","0000033333011013333300000","0031311313113030031311303","0031300313003030031300303","0031300313003030031300303","1","2023-12-09 10:44:08","38423"
"9","2023-12-09 10:39:16","161","4398","16","0070007070700070707000700","0000007070000000707000000","0000006660060600666000000","0000000600060600060000000","0000006060000000606000000","0","2023-12-09 10:44:42","33765"
"3","2023-12-09 10:41:56","162","4399","1","000220220","000000200","000110110","000000100","000000000","0","2023-12-09 10:46:57","2147483647"
"3","2023-12-09 10:41:56","163","4399","2","700000000","700000700","770000000","770000770","000000000","0","2023-12-09 10:46:57","2147483647"
"3","2023-12-09 10:41:56","164","4399","3","040040040","060060060","000444000","000666000","000000000","0","2023-12-09 10:46:58","2147483647"
"3","2023-12-09 10:41:56","165","4399","4","400400000","000400400","404404000","000404404","000000000","0","2023-12-09 10:46:59","2147483647"
"3","2023-12-09 10:41:56","166","4399","5","700770000","770700000","700700770","777700000","000000000","0","2023-12-09 10:46:59","2147483647"
"3","2023-12-09 10:41:56","167","4399","6","110005005","330007007","050050011","070070033","000000000","0","2023-12-09 10:47:00","2147483647"
"3","2023-12-09 10:41:56","168","4399","7","110000000","111000000","000102102","102102102","000000000","0","2023-12-09 10:47:01","2147483647"
"3","2023-12-09 10:41:56","169","4399","8","330000000","000333000","330440000","000333444","000000000","0","2023-12-09 10:47:02","2147483647"
"12","2023-12-09 10:49:05","170","4416","9","1101111010555551101101011","1101111010555550000000000","0110155555000101101111001","0110155555000000000000000","0110155555000100000000000","0","2023-12-09 10:49:32","27025"
"12","2023-12-09 10:49:05","171","4416","10","0000003033030000030300000","0000003333030030333300000","5500000500005005000000500","5550050500505005050055500","5550000500005005550000500","0","2023-12-09 10:49:42","10512"
"12","2023-12-09 10:49:05","172","4416","11","1111110001111110000000003","2222220302222220000000000","3010001010100010101000100","0020002020203020202000200","0020002020203020202000200","1","2023-12-09 10:50:04","21599"
"12","2023-12-09 10:49:05","173","4416","12","6666033333000007770011000","0000011000777006666033333","2200055500600004444433330","6000022000555003333044444","6000022000555003333044444","1","2023-12-09 10:50:25","21085"
"12","2023-12-09 10:49:05","174","4416","13","0102211022010000007722077","0002200022000000000022000","0405544055000000600560055","0005500055000000000500055","0005500055000000600060000","0","2023-12-09 10:50:35","9337"
"12","2023-12-09 10:49:05","175","4416","14","4441444244444443244444424","4444444444444444444444444","6666676666668666666768666","6666666666666666666666666","6666666666666666666666666","1","2023-12-09 10:50:50","14593"
"12","2023-12-09 10:49:05","176","4416","15","1001133333011013333311010","0000033333011013333300000","0031311313113030031311303","0031300313003030031300303","0000011313113030031300000","0","2023-12-09 10:51:31","41419"
"12","2023-12-09 10:49:05","177","4416","16","0070007070700070707000700","0000007070000000707000000","0000006660060600666000000","0000000600060600060000000","0000006060000000606000000","0","2023-12-09 10:51:46","14626"
"7","2023-12-09 10:54:00","178","4422","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 10:54:33","2147483647"
"7","2023-12-09 10:54:00","179","4422","2","700000000","700000700","770000000","770000770","700000700","0","2023-12-09 10:54:58","2147483647"
"7","2023-12-09 10:54:00","180","4422","3","040040040","060060060","000444000","000666000","000444000","0","2023-12-09 10:55:08","2147483647"
"7","2023-12-09 10:54:00","181","4422","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 10:55:17","2147483647"
"7","2023-12-09 10:54:00","182","4422","5","700770000","770700000","700700770","777700000","777700000","1","2023-12-09 10:55:31","2147483647"
"7","2023-12-09 10:54:00","183","4422","6","110005005","330007007","050050011","070070033","070070033","1","2023-12-09 10:56:03","2147483647"
"7","2023-12-09 10:54:00","184","4422","7","110000000","111000000","000102102","102102102","102102102","1","2023-12-09 10:56:13","2147483647"
"7","2023-12-09 10:54:00","185","4422","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 10:56:38","2147483647"
"5","2023-12-09 10:54:01","186","4423","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 10:56:38","2147483647"
"5","2023-12-09 10:54:01","187","4423","2","700000000","700000700","770000000","770000770","770000000","0","2023-12-09 10:57:01","2147483647"
"5","2023-12-09 10:54:01","188","4423","3","040040040","060060060","000444000","000666000","000444000","0","2023-12-09 10:57:13","2147483647"
"5","2023-12-09 10:54:01","189","4423","4","400400000","000400400","404404000","000404404","404404000","0","2023-12-09 10:57:27","2147483647"
"5","2023-12-09 10:54:01","190","4423","5","700770000","770700000","700700770","777700000","700700770","0","2023-12-09 10:57:39","2147483647"
"5","2023-12-09 10:54:01","191","4423","6","110005005","330007007","050050011","070070033","050050011","0","2023-12-09 10:58:20","2147483647"
"5","2023-12-09 10:54:01","192","4423","7","110000000","111000000","000102102","102102102","000102102","0","2023-12-09 10:58:41","2147483647"
"5","2023-12-09 10:54:01","193","4423","8","330000000","000333000","330440000","000333444","330440000","0","2023-12-09 10:58:54","2147483647"
"4","2023-12-09 10:57:35","194","4432","1","000220220","000000200","000110110","000000100","111111111","0","2023-12-09 11:00:19","2147483647"
"7","2023-12-09 10:59:35","195","4434","9","1101111010555551101101011","1101111010555550000000000","0110155555000101101111001","0110155555000000000000000","0110155555000000000000000","1","2023-12-09 11:00:35","43201"
"4","2023-12-09 10:57:35","196","4432","2","700000000","700000700","770000000","770000770","777777777","0","2023-12-09 11:00:47","2147483647"
"7","2023-12-09 10:59:35","197","4434","10","0000003033030000030300000","0000003333030030333300000","5500000500005005000000500","5550050500505005050055500","0000005555050050555500000","0","2023-12-09 11:01:05","30225"
"7","2023-12-09 10:59:35","198","4434","11","1111110001111110000000003","2222220302222220000000000","3010001010100010101000100","0020002020203020202000200","0010001010103010101000100","0","2023-12-09 11:01:24","18270"
"6","2023-12-09 10:59:35","199","4435","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 11:01:31","2147483647"
"4","2023-12-09 10:57:35","200","4432","3","040040040","060060060","000444000","000666000","555555555","0","2023-12-09 11:01:43","2147483647"
"6","2023-12-09 10:59:35","201","4435","2","700000000","700000700","770000000","770000770","000000700","0","2023-12-09 11:01:45","2147483647"
"4","2023-12-09 10:57:35","202","4432","4","400400000","000400400","404404000","000404404","555555555","0","2023-12-09 11:02:08","2147483647"
"7","2023-12-09 10:59:35","203","4434","12","6666033333000007770011000","0000011000777006666033333","2200055500600004444433330","6000022000555003333044444","6000022000555003333044444","1","2023-12-09 11:02:11","47079"
"6","2023-12-09 10:59:35","204","4435","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 11:02:22","2147483647"
"4","2023-12-09 10:57:35","205","4432","5","700770000","770700000","700700770","777700000","777777777","0","2023-12-09 11:02:44","2147483647"
"6","2023-12-09 10:59:35","206","4435","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 11:02:50","2147483647"
"7","2023-12-09 10:59:35","207","4434","13","0102211022010000007722077","0002200022000000000022000","0405544055000000600560055","0005500055000000000500055","0005500055000000600060000","0","2023-12-09 11:02:54","43468"
"6","2023-12-09 10:59:35","208","4435","5","700770000","770700000","700700770","777700000","777700000","1","2023-12-09 11:03:03","2147483647"
"7","2023-12-09 10:59:35","209","4434","14","4441444244444443244444424","4444444444444444444444444","6666676666668666666768666","6666666666666666666666666","6666666666666666666666666","1","2023-12-09 11:03:16","21430"
"4","2023-12-09 10:57:35","210","4432","6","110005005","330007007","050050011","070070033","557557555","0","2023-12-09 11:04:01","2147483647"
"6","2023-12-09 10:59:35","211","4435","6","110005005","330007007","050050011","070070033","330007007","0","2023-12-09 11:04:03","2147483647"
"7","2023-12-09 10:59:35","212","4434","15","1001133333011013333311010","0000033333011013333300000","0031311313113030031311303","0031300313003030031300303","0031300313003030031300303","1","2023-12-09 11:04:24","67897"
"6","2023-12-09 10:59:35","213","4435","7","110000000","111000000","000102102","102102102","000102102","0","2023-12-09 11:04:32","2147483647"
"4","2023-12-09 10:57:35","214","4432","7","110000000","111000000","000102102","102102102","211211111","0","2023-12-09 11:04:59","2147483647"
"7","2023-12-09 10:59:35","215","4434","16","0070007070700070707000700","0000007070000000707000000","0000006660060600666000000","0000000600060600060000000","0000000600060600060000000","1","2023-12-09 11:05:02","38444"
"6","2023-12-09 10:59:35","216","4435","8","330000000","000333000","330440000","000333444","330440000","0","2023-12-09 11:05:10","2147483647"
"4","2023-12-09 10:57:35","217","4432","8","330000000","000333000","330440000","000333444","775775777","0","2023-12-09 11:05:40","2147483647"
"8","2023-12-09 11:05:51","218","4444","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 11:06:49","2147483647"
"7","2023-12-09 11:05:55","219","4445","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 11:07:09","2147483647"
"8","2023-12-09 11:05:51","220","4444","2","700000000","700000700","770000000","770000770","770000770","1","2023-12-09 11:07:15","2147483647"
"7","2023-12-09 11:05:55","221","4445","2","700000000","700000700","770000000","770000770","700000700","0","2023-12-09 11:07:22","2147483647"
"8","2023-12-09 11:05:51","222","4444","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 11:07:26","2147483647"
"7","2023-12-09 11:05:55","223","4445","3","040040040","060060060","000444000","000666000","060060060","0","2023-12-09 11:07:38","2147483647"
"8","2023-12-09 11:05:51","224","4444","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 11:07:38","2147483647"
"7","2023-12-09 11:05:55","225","4445","4","400400000","000400400","404404000","000404404","700000700","0","2023-12-09 11:08:03","2147483647"
"8","2023-12-09 11:05:51","226","4444","5","700770000","770700000","700700770","777700000","777700000","1","2023-12-09 11:08:12","2147483647"
"7","2023-12-09 11:05:55","227","4445","5","700770000","770700000","700700770","777700000","000000100","0","2023-12-09 11:08:20","2147483647"
"7","2023-12-09 11:05:55","228","4445","7","110000000","111000000","000102102","102102102","000000100","0","2023-12-09 11:08:26","2147483647"
"8","2023-12-09 11:05:51","229","4444","6","110005005","330007007","050050011","070070033","070070033","1","2023-12-09 11:08:36","2147483647"
"8","2023-12-09 11:05:51","230","4444","7","110000000","111000000","000102102","102102102","102102102","1","2023-12-09 11:08:59","2147483647"
"8","2023-12-09 11:05:51","231","4444","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 11:09:10","2147483647"
"7","2023-12-09 11:08:43","232","4447","1","000220220","000000200","000110110","000000100","000110010","0","2023-12-09 11:09:21","2147483647"
"7","2023-12-09 11:08:43","233","4447","2","700000000","700000700","770000000","770000770","700700700","0","2023-12-09 11:09:36","2147483647"
"7","2023-12-09 11:08:43","234","4447","3","040040040","060060060","000444000","000666000","000000000","0","2023-12-09 11:09:37","2147483647"
"7","2023-12-09 11:08:43","235","4447","4","400400000","000400400","404404000","000404404","700700700","0","2023-12-09 11:09:49","2147483647"
"9","2023-12-09 11:09:44","236","4451","9","1101111010555551101101011","1101111010555550000000000","0110155555000101101111001","0110155555000000000000000","0110155555000000000000000","1","2023-12-09 11:10:05","21269"
"7","2023-12-09 11:08:43","237","4447","5","700770000","770700000","700700770","777700000","700700770","0","2023-12-09 11:10:06","2147483647"
"7","2023-12-09 11:08:43","238","4447","6","110005005","330007007","050050011","070070033","700700700","0","2023-12-09 11:10:10","2147483647"
"7","2023-12-09 11:08:43","239","4447","7","110000000","111000000","000102102","102102102","000110010","0","2023-12-09 11:10:11","2147483647"
"7","2023-12-09 11:08:43","240","4447","8","330000000","000333000","330440000","000333444","330550000","0","2023-12-09 11:10:39","2147483647"
"9","2023-12-09 11:09:44","241","4451","10","0000003033030000030300000","0000003333030030333300000","5500000500005005000000500","5550050500505005050055500","0000005555050050555500000","0","2023-12-09 11:10:48","42342"
"9","2023-12-09 11:09:44","242","4451","11","1111110001111110000000003","2222220302222220000000000","3010001010100010101000100","0020002020203020202000200","0020002020203020202000200","1","2023-12-09 11:11:17","28971"
"9","2023-12-09 11:09:44","243","4451","12","6666033333000007770011000","0000011000777006666033333","2200055500600004444433330","6000022000555003333044444","6000022000555003333044444","1","2023-12-09 11:11:45","28537"
"9","2023-12-09 11:09:44","244","4451","13","0102211022010000007722077","0002200022000000000022000","0405544055000000600560055","0005500055000000000500055","0005500055000000000500055","1","2023-12-09 11:12:12","26770"
"9","2023-12-09 11:09:44","245","4451","14","4441444244444443244444424","4444444444444444444444444","6666676666668666666768666","6666666666666666666666666","0005500055000000000500055","0","2023-12-09 11:12:21","26770"
"9","2023-12-09 11:09:44","246","4451","15","1001133333011013333311010","0000033333011013333300000","0031311313113030031311303","0031300313003030031300303","0031300313003030031300303","1","2023-12-09 11:12:44","23147"
"8","2023-12-09 11:09:38","247","4450","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 11:12:57","2147483647"
"9","2023-12-09 11:09:44","248","4451","16","0070007070700070707000700","0000007070000000707000000","0000006660060600666000000","0000000600060600060000000","0000006060000000606000000","0","2023-12-09 11:13:05","20735"
"8","2023-12-09 11:09:38","249","4450","2","700000000","700000700","770000000","770000770","700000700","0","2023-12-09 11:13:44","2147483647"
"8","2023-12-09 11:09:38","250","4450","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 11:14:10","2147483647"
"8","2023-12-09 11:09:38","251","4450","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 11:14:51","2147483647"
"10","2023-12-09 11:13:52","252","4454","9","1101111010555551101101011","1101111010555550000000000","0110155555000101101111001","0110155555000000000000000","0100155555000000000000000","0","2023-12-09 11:15:18","28526"
"10","2023-12-09 11:13:52","253","4454","10","0000003033030000030300000","0000003333030030333300000","5500000500005005000000500","5550050500505005050055500","5550050500505005050055500","1","2023-12-09 11:15:48","29450"
"3","2023-12-09 11:14:31","254","4456","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 11:16:11","2147483647"
"8","2023-12-09 11:09:38","255","4450","5","700770000","770700000","700700770","777700000","700770770","0","2023-12-09 11:16:14","2147483647"
"10","2023-12-09 11:13:52","256","4454","11","1111110001111110000000003","2222220302222220000000000","3010001010100010101000100","0020002020203020202000200","0020002020203020202000200","1","2023-12-09 11:16:16","28167"
"3","2023-12-09 11:14:31","257","4456","2","700000000","700000700","770000000","770000770","700000000","0","2023-12-09 11:16:24","2147483647"
"3","2023-12-09 11:14:31","258","4456","3","040040040","060060060","000444000","000666000","000000000","0","2023-12-09 11:16:24","2147483647"
"10","2023-12-09 11:13:52","259","4454","12","6666033333000007770011000","0000011000777006666033333","2200055500600004444433330","6000022000555003333044444","6000022000555003333044444","1","2023-12-09 11:16:58","42351"
"3","2023-12-09 11:14:31","260","4456","4","400400000","000400400","404404000","000404404","004000000","0","2023-12-09 11:17:04","2147483647"
"8","2023-12-09 11:09:38","261","4450","6","110005005","330007007","050050011","070070033","070070033","1","2023-12-09 11:17:29","2147483647"
"8","2023-12-09 11:09:38","262","4450","7","110000000","111000000","000102102","102102102","110101101","0","2023-12-09 11:17:56","2147483647"
"3","2023-12-09 11:14:31","263","4456","5","700770000","770700000","700700770","777700000","004000000","0","2023-12-09 11:18:08","2147483647"
"10","2023-12-09 11:13:52","264","4454","13","0102211022010000007722077","0002200022000000000022000","0405544055000000600560055","0005500055000000000500055","6000022000555003333044444","0","2023-12-09 11:18:24","42351"
"8","2023-12-09 11:09:38","265","4450","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 11:18:25","2147483647"
"10","2023-12-09 11:13:52","266","4454","14","4441444244444443244444424","4444444444444444444444444","6666676666668666666768666","6666666666666666666666666","6000022000555003333044444","0","2023-12-09 11:18:34","42351"
"36","2023-12-09 11:18:27","267","4459","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 11:18:40","2147483647"
"36","2023-12-09 11:18:27","268","4459","2","700000000","700000700","770000000","770000770","770000770","1","2023-12-09 11:18:53","2147483647"
"36","2023-12-09 11:18:27","269","4459","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 11:18:59","2147483647"
"10","2023-12-09 11:13:52","270","4454","15","1001133333011013333311010","0000033333011013333300000","0031311313113030031311303","0031300313003030031300303","0031300313003030031300303","1","2023-12-09 11:19:01","27256"
"36","2023-12-09 11:18:27","271","4459","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 11:19:04","2147483647"
"10","2023-12-09 11:13:52","272","4454","16","0070007070700070707000700","0000007070000000707000000","0000006660060600666000000","0000000600060600060000000","0000000600060600060000000","1","2023-12-09 11:19:14","12956"
"36","2023-12-09 11:18:27","273","4459","5","700770000","770700000","700700770","777700000","700770700","0","2023-12-09 11:19:30","2147483647"
"36","2023-12-09 11:18:27","274","4459","6","110005005","330007007","050050011","070070033","070070033","1","2023-12-09 11:19:41","2147483647"
"10","2023-12-09 11:19:30","275","4460","1","000220220","000000200","000110110","000000100","000000100","1","2023-12-09 11:19:53","2147483647"
"36","2023-12-09 11:18:27","276","4459","7","110000000","111000000","000102102","102102102","102102102","1","2023-12-09 11:19:56","2147483647"
"36","2023-12-09 11:18:27","277","4459","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 11:20:04","2147483647"
"10","2023-12-09 11:19:30","278","4460","2","700000000","700000700","770000000","770000770","770000770","1","2023-12-09 11:20:10","2147483647"
"10","2023-12-09 11:19:30","279","4460","3","040040040","060060060","000444000","000666000","000666000","1","2023-12-09 11:20:18","2147483647"
"10","2023-12-09 11:19:30","280","4460","4","400400000","000400400","404404000","000404404","000404404","1","2023-12-09 11:20:28","2147483647"
"10","2023-12-09 11:19:30","281","4460","5","700770000","770700000","700700770","777700000","777700000","1","2023-12-09 11:20:42","2147483647"
"10","2023-12-09 11:19:30","282","4460","6","110005005","330007007","050050011","070070033","070070033","1","2023-12-09 11:21:12","2147483647"
"10","2023-12-09 11:19:30","283","4460","7","110000000","111000000","000102102","102102102","102102102","1","2023-12-09 11:21:22","2147483647"
"10","2023-12-09 11:19:30","284","4460","8","330000000","000333000","330440000","000333444","000333444","1","2023-12-09 11:21:33","2147483647"
"31","2023-12-09 11:22:19","285","4463","9","1101111010555551101101011","1101111010555550000000000","0110155555000101101111001","0110155555000000000000000","0110100000000000000000000","0","2023-12-09 11:22:31","12348"
"31","2023-12-09 11:22:04","286","4462","1","000220220","000000200","000110110","000000100","000110110","0","2023-12-09 11:22:35","2147483647"
"31","2023-12-09 11:22:04","287","4462","2","700000000","700000700","770000000","770000770","770000000","0","2023-12-09 11:22:41","2147483647"
"31","2023-12-09 11:22:19","288","4463","10","0000003033030000030300000","0000003333030030333300000","5500000500005005000000500","5550050500505005050055500","5550050500505005050055500","1","2023-12-09 11:22:47","15967"
